Name,Final Price
STYRENIX,"1,542.00"
WONDERLA,"1,063.65"
PVRINOX,"1,394.00"
UGROCAP,250.60
VINATIORGA,"1,535.00"
RANEHOLDIN,"1,129.00"
TFCILTD,182.00
BHARATFORG,"1,152.50"
SANSERA,"1,030.00"
PCBL,284.75
JAGSNPHARM,306.45
SMSPHARMA,188.30
UFO,150.85
PSB,64.80
TATACHEM,"1,102.00"
GMMPFAUDLR,"1,333.20"
ARVINDFASN,461.60
VENUSPIPES,"1,956.70"
VARROC,556.70
SENCO,808.00
STEELCITY,76.60
ITDC,690.00
FEDFINA,126.00
WELENT,318.70
SHRIPISTON,"2,065.00"
INDIACEM,225.80
KOTAKBANK,"1,747.00"
CENTRALBK,66.20
PLASTIBLEN,264.95
JINDALSAW,504.60
TVSSCS,172.00
DBREALTY,211.00
MUTHOOTFIN,"1,645.00"
EPL,189.05
INDORAMA,44.50
VISHWARAJ,16.70
BATAINDIA,"1,381.95"
JWL,401.50
BEL,223.50
DIAMONDYD,939.45
TBZ,117.50
CUB,151.10
ESABINDIA,"5,378.80"
KOTHARIPET,140.25
PUNJABCHEM,"1,016.05"
IPL,224.70
GENESYS,635.00
MAHABANK,67.50
RECLTD,478.30
CAREERP,304.35
BHINVIT,108.45
ANUP,"3,249.95"
CESC,130.20
VSSL,226.45
MANYAVAR,948.35
TATVA,"1,229.85"
CRISIL,"4,850.00"
LINCOLN,615.90
DCW,57.10
CHOLAHLDNG,"1,179.00"
SATIA,120.20
RANASUG,22.90
GESHIP,"1,031.05"
CAPACITE,270.00
ORIENTPPR,46.10
SHAREINDIA,"1,723.00"
JETAIRWAYS,52.00
KOTARISUG,57.90
DATAPATTNS,"2,762.85"
SHAKTIPUMP,"1,504.85"
JAMNAAUTO,139.80
ENDURANCE,"1,924.00"
HFCL,99.45
SOUTHBANK,29.35
DHANUKA,"1,098.00"
RELINFRA,294.30
NCC,259.20
CAPTRUST,118.00
JKPAPER,354.80
TITAGARH,971.00
ALLCARGO,77.00
JKCEMENT,"4,375.00"
STARCEMENT,231.40
PTC,201.90
JKTYRE,434.00
SPCENET,29.75
KARURVYSYA,190.50
DWARKESH,77.40
JSWSTEEL,876.30
TATAPOWER,415.70
LOYALTEX,605.00
GREAVESCOT,139.25
HMVL,109.00
WSTCSTPAPR,623.95
TATAMTRDVR,673.90
DLF,912.05
SBFC,85.15
KINGFA,"1,920.00"
BLS,348.00
VAISHALI,152.75
PENINLAND,55.00
IOB,67.35
SCI,226.85
ELECTCAST,184.00
BIRLACORPN,"1,505.00"
ADANIPORTS,"1,408.60"
XCHANGING,129.80
GOLDIAM,185.85
JYOTHYLAB,446.85
JUSTDIAL,888.00
OFSS,"8,909.95"
DALMIASUG,386.00
NFL,105.85
ARTEMISMED,186.90
FLAIR,287.40
PTL,43.75
NDTV,231.25
AJOONI,6.25
WILLAMAGOR,37.55
KELLTONTEC,106.45
IKIO,306.95
RISHABH,464.65
TIIL,"2,251.10"
LALPATHLAB,"2,309.95"
APOLLOTYRE,472.40
SFL,978.00
GODREJCP,"1,198.90"
FINCABLES,"1,023.00"
BSE,"2,884.00"
VMART,"2,215.00"
AMBUJACEM,640.00
MAWANASUG,95.05
ARVIND,297.95
APARINDS,"6,980.00"
ADANIENSOL,"1,103.45"
MARINE,101.60
DSSL,"1,063.15"
UCOBANK,57.40
BODALCHEM,83.15
IRB,64.00
KCPSUGIND,38.40
GIPCL,185.65
PNCINFRA,435.70
BCLIND,64.10
ASTRAZEN,"5,130.00"
AMBIKCO,"1,592.60"
TORNTPHARM,"2,608.95"
KOPRAN,269.95
APOLLOHOSP,"6,425.00"
MUNJALSHOW,173.90
ANANDRATHI,"3,535.00"
MSUMI,71.20
NAVINFLUOR,"3,170.00"
MIDHANI,421.55
